I, [2019-05-22T16:29:23.699313 #10792]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-05-22T16:29:23.706339 #10792] ERROR -- Kitchen: ------Exception-------
E, [2019-05-22T16:29:23.706735 #10792] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-05-22T16:29:23.707113 #10792] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/JJones2/j/Composable-Batch-Files/.kitchen-aws.yml does not exist.
E, [2019-05-22T16:29:23.707461 #10792] ERROR -- Kitchen: ----------------------
E, [2019-05-22T16:29:23.707820 #10792] ERROR -- Kitchen: ------Backtrace-------
E, [2019-05-22T16:29:23.708165 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-05-22T16:29:23.709037 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-05-22T16:29:23.709327 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-05-22T16:29:23.709618 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-05-22T16:29:23.709886 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-05-22T16:29:23.710161 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-05-22T16:29:23.710454 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-05-22T16:29:23.710892 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-05-22T16:29:23.711627 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-05-22T16:29:23.711919 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-05-22T16:29:23.712060 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-05-22T16:29:23.712419 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-05-22T16:29:23.712695 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-05-22T16:29:23.712915 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-05-22T16:29:23.713232 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-05-22T16:29:23.713619 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-05-22T16:29:23.713890 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-05-22T16:29:23.714118 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-05-22T16:29:23.714381 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-05-22T16:29:23.714671 #10792] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-05-22T16:29:23.714865 #10792] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `load'
E, [2019-05-22T16:29:23.714979 #10792] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `<main>'
E, [2019-05-22T16:29:23.715397 #10792] ERROR -- Kitchen: ----End Backtrace-----
